Month,Year,City ,State/Country,Designation,Rating
July,2007,Pittsburgh, PA,Local,3
July,2008,Pittsburgh, PA,Local,1
October,2009,Pittsburgh, PA,Local,1
October,2010,Pittsburgh, PA,Local,1
December,2010,Pittsburgh, PA,Local,3
December,2010,Murrysville, PA,Local,4
May,2011,Pittsburgh, PA,Local,2
November,2011,Pittsburgh, PA,Local,2
December,2011,Pittsburgh, PA,Local,3
December,2011,Pittsburgh, PA,Local,2
December,2011,Pittsburgh, PA,Local,5
July,2012,Pittsburgh, PA,Local,5
October,2012,Pittsburgh, PA,Local,3
July,2013,Wheeling, WV,Local,4
July,2013,Pittsburgh, PA,Local,5
July,2013,Pittsburgh, PA,Local,5
November,2013,Pittsburgh, PA,Local,2
November,2013,Pittsburgh, PA,Local,4
December,2013,Pittsburgh, PA,Local,2
December,2013,Pittsburgh, PA,Local,1
May,2014,Pittsburgh, PA,Local,4
May,2014,Pittsburgh, PA,Local,5
May,2014,Homestead, PA,Local,4
May,2014,Pittsburgh, PA,Local,4
May,2014,Pittsburgh, PA,Local,4
June,2014,Pittsburgh, PA,Local,3
June,2014,Pittsburgh, PA,Local,3
June,2014,Valencia, PA,Local,4
June,2014,Pittsburgh, PA,Local,1
June,2014,Carnegie, PA,Local,4
June,2014,Elizabeth, PA,Local,4
July,2014,Pittsburgh, PA,Local,5
July,2014,Pittsburgh, PA,Local,4
July,2014,Pittsburgh, PA,Local,5
October,2014,Pittsburgh, PA,Local,4
October,2014,Pittsburgh, PA,Local,2
October,2014,Irwin, PA,Local,5
October,2014,Pittsburgh, PA,Local,4
November,2014,Pittsburgh, PA,Local,5
November,2014,New Kensington, PA,Local,2
November,2014,Pittsburgh, PA,Local,4
November,2014,Pittsburgh, PA,Local,1
November,2014,Pittsburgh, PA,Local,2
November,2014,Pittsburgh, PA,Local,5
December,2014,Pittsburgh, PA,Local,4
December,2014,Pittsburgh, PA,Local,3
December,2014,Pittsburgh, PA,Local,2
December,2014,Pittsburgh, PA,Local,1
May,2015,Valencia, PA,Local,5
June,2015,Pittsburgh, PA,Local,1
June,2015,Pittsburgh, PA,Local,5
July,2015,Pittsburgh, PA,Local,4
July,2015,Pittsburgh, PA,Local,4
July,2015,Pittsburgh, PA,Local,1
October,2015,Pittsburgh, PA,Local,1
October,2015,Pittsburgh, PA,Local,4
October,2015,Pittsburgh, PA,Local,3
November,2015,Pittsburgh, PA,Local,1
November,2015,Pittsburgh, PA,Local,4
November,2015,Pittsburgh, PA,Local,4
November,2015,Pittsburgh, PA,Local,5
November,2015,Pittsburgh, PA,Local,1
November,2015,Pittsburgh, PA,Local,4
November,2015,Pittsburgh, PA,Local,2
December,2015,Pittsburgh, PA,Local,5
December,2015,Sweickley, PA,Local,5
December,2015,Pittsburgh, PA,Local,3
May,2016,Pittsburgh, PA,Local,5
May,2016,Pittsburgh, PA,Local,2
May,2016,Pittsburgh, PA,Local,5
May,2016,Pittsburgh, PA,Local,2
May,2016,Pittsburgh, PA,Local,2
May,2016,Pittsburgh, PA,Local,1
June,2016,Beaver, PA,Local,5
June,2016,Pittsburgh, PA,Local,5
June,2016,Pittsburgh, PA,Local,2
June,2016,Pittsburgh, PA,Local,2
June,2016,Pittsburgh, PA,Local,1
June,2016,Pittsburgh, PA,Local,2
June,2016,Homestead, PA,Local,2
July,2016,Pittsburgh, PA,Local,2
July,2016,Pittsburgh, PA,Local,4
October,2016,Pittsburgh, PA,Local,2
October,2016,Pittsburgh, PA,Local,1
December,2016,Pittsburgh, PA,Local,5
December,2016,Pittsburgh, PA,Local,4
December,2016,Lawrence, PA,Local,5
December,2016,Pittsburgh, PA,Local,2
June,2017,Pittsburgh, PA,Local,1
October,2017,Pittsburgh, PA,Local,3
October,2017,Pittsburgh, PA,Local,5
October,2017,Mars, PA,Local,2
October,2017,Pittsburgh, PA,Local,5
October,2017,Pittsburgh, PA,Local,2
November,2017,Pittsburgh, PA,Local,3
November,2017,Pittsburgh, PA,Local,3
November,2017,Pittsburgh, PA,Local,5
November,2017,Pittsburgh, PA,Local,5
November,2017,Monongahela, PA,Local,2
December,2017,Beaver, PA,Local,4
December,2017,Pittsburgh, PA,Local,3
July,2018,Pittsburgh, PA,Local,5
July,2018,Pittsburgh, PA,Local,4
July,2018,New Kensington, PA,Local,5
