Month,Year,City ,State/Country,Designation,Rating
December,2008,San Francisco, CA,Tourist,3
December,2011,Los Angeles, CA,Tourist,3
December,2012,Santa Ana, CA,Tourist,2
December,2013,Northridge, CA,Tourist,4
December,2013,Alhambra, CA,Tourist,4
December,2015,Long Beach, CA,Tourist,2
December,2016,San Leandro, CA,Tourist,2
December,2016,Lake Forest, CA,Tourist,4
December,2016,Brea, CA,Tourist,4
December,2016,Sonoma, CA,Tourist,1
December,2017,Los Angeles, CA,Tourist,5
December,2017,La Crescenta-Montrose, CA,Tourist,3
December,2010,Denver, CO,Tourist,4
December,2007,New Haven, CT,Tourist,2
December,2011,New Haven, CT,Tourist,2
December,2008,Washington, DC,Tourist,4
December,2009,Washington, DC,Tourist,3
December,2010,Washington, DC,Tourist,4
December,2011,Washington, DC,Tourist,2
December,2011,Washington, DC,Tourist,3
December,2010,Naples, FL,Tourist,4
December,2011,Parkland, FL,Tourist,1
December,2014,Tampa, FL,Tourist,2
December,2016,Gainsville, FL,Tourist,1
December,2016,Lake Mary, FL,Tourist,5
December,2014,Lyon, France,Tourist,5
December,2014,Munich, Germany,Tourist,3
December,2008,Chicago, IL,Tourist,2
December,2014,Bartlett, IL,Tourist,4
December,2015,Evanston, IL,Tourist,4
December,2016,Brimfield, IL,Tourist,5
December,2016,Indianapolis, IN,Tourist,2
December,2011,Westford, MA,Tourist,4
December,2011,Framingham, MA,Tourist,5
December,2017,Boston, MA,Tourist,5
December,2017,Boston, MA,Tourist,5
December,2008,North Potomac, MD,Tourist,5
December,2014,Potomac, MD,Tourist,3
December,2014,College Park, MD,Tourist,1
December,2017,Rockville, MD,Tourist,4
December,2017,Grand Rapids, MI,Tourist,3
December,2017,Billings, MT,Tourist,5
December,2009,Matthews, NC,Tourist,5
December,2013,Lincoln, NE,Tourist,4
December,2015,Hazlet, NJ,Tourist,4
December,2016,Jersey City, NJ,Tourist,2
December,2011,Henderson, NV,Tourist,3
December,2008,Buffalo, NY,Tourist,4
December,2011,Buffalo, NY,Tourist,4
December,2011,Bayside, NY,Tourist,4
December,2013,Manhattan, NY,Tourist,5
December,2014,Buffalo, NY,Tourist,2
December,2013,East Liverpool, OH,Tourist,5
December,2015,Columbus, OH,Tourist,3
December,2016,Steubenville, OH,Tourist,5
December,2017,New Philadelphia, OH,Tourist,5
December,2006,Philadelphia, PA,Tourist,4
December,2008,Red Lion, PA,Tourist,4
December,2010,Butler, PA,Tourist,5
December,2013,Philadelphia, PA,Tourist,3
December,2014,Austin, TX,Tourist,5
December,2015,Houston, TX,Tourist,3
December,2015,Dallas, TX,Tourist,1
December,2011,London, United Kingdom,Tourist,5
December,2014,Fort Lee, VA,Tourist,5
December,2011,Edmonds, WA,Tourist,3
December,2017,Seattle, WA,Tourist,5
December,2010,Ashland, WI,Tourist,2
July,2015,Adelaide, Australia,Tourist,3
July,2010,Phoenix, AZ,Tourist,5
July,2014,Tempe, AZ,Tourist,2
July,2006,Los Angeles, CA,Tourist,5
July,2007,Walnut Creek, CA,Tourist,2
July,2009,San Diego, CA,Tourist,4
July,2010,San Bruno, CA,Tourist,4
July,2012,San Jose, CA,Tourist,3
July,2012,Berkeley, CA,Tourist,1
July,2012,San Francisco, CA,Tourist,4
July,2013,Temecula, CA,Tourist,1
July,2013,Alameda, CA,Tourist,1
July,2014,Newport Beach, CA,Tourist,2
July,2014,San Francisco, CA,Tourist,5
July,2016,San Francisco, CA,Tourist,5
July,2016,San Francisco, CA,Tourist,4
July,2016,Santa Rosa, CA,Tourist,5
July,2017,Altadena, CA,Tourist,5
July,2017,San Francisco, CA,Tourist,4
July,2018,Escondido, CA,Tourist,5
July,2018,Crestline, CA,Tourist,1
July,2010,Toronto, Canada,Tourist,4
July,2014,Ottawa, Canada,Tourist,4
July,2015,Toronto, Canada,Tourist,4
July,2010,Denver, CO,Tourist,3
July,2014,Englewood, CO,Tourist,3
July,2012,Seymour, CT,Tourist,3
July,2015,Stamford, CT,Tourist,5
July,2014,Washington, DC,Tourist,3
July,2009,New Castle, DE,Tourist,4
July,2015,Wilmington, DE,Tourist,5
July,2016,, Finland,Tourist,3
July,2010,Tampa, FL,Tourist,4
July,2013,Orlando, FL,Tourist,4
July,2016,St Augustine, FL,Tourist,3
July,2017,Palm Beach Gardens, FL,Tourist,2
July,2018,Ponte Vedra Beach, FL,Tourist,3
July,2018,St Augustine, FL,Tourist,3
July,2008,Honolulu, HI,Tourist,4
July,2016,Mountain Home AFB, ID,Tourist,2
July,2009,Park Ridge, IL,Tourist,5
July,2012,Mokena, IL,Tourist,3
July,2015,Chicago, IL,Tourist,5
July,2016,Chicago, IL,Tourist,5
July,2016,Chicago, IL,Tourist,4
July,2018,Chicago, IL,Tourist,4
July,2010,Indianapolis, IN,Tourist,1
July,2014,Indianapolis, IN,Tourist,3
July,2014,Indianapolis, IN,Tourist,4
July,2016,Crawfordsville, IN,Tourist,3
July,2008,Boston, MA,Tourist,5
July,2011,Randolph, MA,Tourist,5
July,2017,Boston, MA,Tourist,5
July,2018,Boston, MA,Tourist,3
July,2009,Gaithersburg, MD,Tourist,4
July,2010,Ijamsville, MD,Tourist,4
July,2013,Centreville, MD,Tourist,4
July,2014,Glenn Dale, MD,Tourist,2
July,2018,Columbia, MD,Tourist,3
July,2015,Detroit, MI,Tourist,4
July,2015,Detroit, MI,Tourist,3
July,2015,Shelby Charter Township, MI,Tourist,5
July,2017,Harrison Charter Township, MI,Tourist,5
July,2017,Troy, MI,Tourist,4
July,2017,Detroit, MI,Tourist,1
July,2014,Sanford, NC,Tourist,2
July,2014,Shelby, NC,Tourist,5
July,2014,Durham, NC,Tourist,1
July,2018,Shelby, NC,Tourist,5
July,2008,Burlington, NJ,Tourist,3
July,2012,Bridgewater, NJ,Tourist,4
July,2014,Logan Township, NJ,Tourist,5
July,2016,Edison, NJ,Tourist,5
July,2016,North Bergen, NJ,Tourist,4
July,2016,Riverside, NJ,Tourist,2
July,2009,Reno, NV,Tourist,4
July,2010,Las Vegas, NV,Tourist,3
July,2009,Brooklyn, NY,Tourist,3
July,2010,New York, NY,Tourist,4
July,2010,Yonkers, NY,Tourist,4
July,2011,New York, NY,Tourist,5
July,2011,Syracuse, NY,Tourist,4
July,2012,Albany, NY,Tourist,4
July,2013,Manhattan, NY,Tourist,4
July,2013,New York, NY,Tourist,4
July,2013,Queens, NY,Tourist,4
July,2013,Ridgewood, NY,Tourist,3
July,2013,New York, NY,Tourist,4
July,2013,Brooklyn, NY,Tourist,3
July,2014,Mt Sinal, NY,Tourist,3
July,2014,New York, NY,Tourist,4
July,2015,Manhattan, NY,Tourist,2
July,2015,New York, NY,Tourist,3
July,2015,New York, NY,Tourist,2
July,2016,Yonkers, NY,Tourist,5
July,2016,Long Island, NY,Tourist,4
July,2017,Baldwin, NY,Tourist,3
July,2018,Manhattan, NY,Tourist,5
July,2018,Valhalla, NY,Tourist,3
July,2018,Manhattan, NY,Tourist,5
July,2010,Columbus, OH,Tourist,4
July,2013,Centerville, OH,Tourist,3
July,2014,Richfield, OH,Tourist,1
July,2016,Newark, OH,Tourist,4
July,2016,Columbus, OH,Tourist,5
July,2017,Cincinnati, OH,Tourist,1
July,2017,Ashland, OH,Tourist,5
July,2018,Dayton, OH,Tourist,2
July,2013,Portland, OR,Tourist,4
July,2010,York, PA,Tourist,2
July,2011,Aston, PA,Tourist,3
July,2012,York, PA,Tourist,1
July,2014,Carroll Park, PA,Tourist,4
July,2015,Morrisville, PA,Tourist,3
July,2017,Hampden, PA,Tourist,2
July,2009,Austin, TX,Tourist,4
July,2010,Arlington, TX,Tourist,4
July,2011,Houston, TX,Tourist,2
July,2011,League City, TX,Tourist,4
July,2011,Austin, TX,Tourist,5
July,2013,Austin, TX,Tourist,4
July,2015,Cedar Park, TX,Tourist,2
July,2015,Dripping Springs, TX,Tourist,1
July,2016,Houston, TX,Tourist,1
July,2018,Layton, UT,Tourist,3
July,2014,Warrenton, VA,Tourist,1
July,2016,Radford, VA,Tourist,5
July,2017,Falls Church, VA,Tourist,2
July,2015,Seattle, WA,Tourist,3
July,2013,Milwaukee, WI,Tourist,3
July,2015,Weirton, WV,Tourist,5
July,2018,Morgantown, WV,Tourist,2
June,2013,Birmingham, AL,Tourist,3
June,2014,Tuscaloose, AL,Tourist,3
June,2013,Phoenix, AZ,Tourist,2
June,2017,Surprise, AZ,Tourist,2
June,2006,San Francisco, CA,Tourist,5
June,2007,San Mateo, CA,Tourist,2
June,2013,Los Angeles, CA,Tourist,2
June,2014,Orange County, CA,Tourist,2
June,2014,Yorba Linda, CA,Tourist,3
June,2016,Rio Linda, CA,Tourist,5
June,2017,San Francisco, CA,Tourist,3
June,2014,Vancouver, Canada,Tourist,3
June,2017,Toronto, Canada,Tourist,4
June,2018,Toronto, Canada,Tourist,5
June,2016,Westminster, CO,Tourist,5
June,2014,Stratford, CT,Tourist,2
June,2014,Middletown, CT,Tourist,3
June,2007,Washington, DC,Tourist,5
June,2012,Washington, DC,Tourist,1
June,2013,Washington, DC,Tourist,3
June,2012,Newark, DE,Tourist,3
June,2016,Islamorada, FL,Tourist,4
June,2017,Boca Raton, FL,Tourist,5
June,2017,Riverview, FL,Tourist,5
June,2018,Orange Park, FL,Tourist,5
June,2016,Paris, France,Tourist,5
